Name,University Seat Number,Year of Joining,Course,Degree,Department,Class Teacher,Elective Opted,Phone Number,Parent's Number,Accommodation,AMC College Email,Additional Info
Rahul Gupta,1AM21cs001,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Aditi Rao,IoT,9387413139,9661166067,Hostel,rahul.gupta@students.amc.edu,Sports Quota
Siddharth Joshi,1AM21cs002,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Aditi Rao,IoT,9465434375,9154127662,Day Scholar,siddharth.joshi@students.amc.edu,Scholarship Holder
Sneha Patil,1AM21cs003,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Nikhil Kumar,AI & ML,9455308869,9472576325,Hostel,sneha.patil@students.amc.edu,Internship ongoing
Aman Joshi,1AM21cs004,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Aditi Rao,AI & ML,9221367769,9220579760,Day Scholar,aman.joshi@students.amc.edu,Sports Quota
Kavya Nair,1AM21cs005,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Aditi Rao,Data Science,9363933664,9837441602,Day Scholar,kavya.nair@students.amc.edu,Sports Quota
Divya Joshi,1AM21cs006,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Aditi Rao,IoT,9132865972,9987121347,Day Scholar,divya.joshi@students.amc.edu,Internship ongoing
Harsh Rao,1AM21cs007,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Nikhil Kumar,IoT,9316683629,9490385779,Hostel,harsh.rao@students.amc.edu,Internship ongoing
Harsh Joshi,1AM21cs008,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Aditi Rao,AI & ML,9438231891,9198172912,Hostel,harsh.joshi@students.amc.edu,Internship ongoing
Neha Verma,1AM21cs009,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Nikhil Kumar,IoT,9145363745,9477073330,Hostel,neha.verma@students.amc.edu,Scholarship Holder
Neha Joshi,1AM21cs010,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Nikhil Kumar,IoT,9505495901,9186541410,Hostel,neha.joshi@students.amc.edu,Placed
Rohan Iyer,1AM21cs011,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Nikhil Kumar,AI & ML,9461485862,9773601773,Day Scholar,rohan.iyer@students.amc.edu,Sports Quota
Ishita Kapoor,1AM21cs012,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Nikhil Kumar,IoT,9408520590,9237146377,Day Scholar,ishita.kapoor@students.amc.edu,Internship ongoing
Swati Kapoor,1AM21cs013,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Nikhil Kumar,AI & ML,9974697741,9122474666,Hostel,swati.kapoor@students.amc.edu,Placed
Divya Nair,1AM21cs014,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Nikhil Kumar,AI & ML,9866810414,9168911248,Hostel,divya.nair@students.amc.edu,Internship ongoing
Harsh Iyer,1AM21cs015,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Aditi Rao,IoT,9238347998,9339529934,Day Scholar,harsh.iyer@students.amc.edu,Scholarship Holder
Nitin Kapoor,1AM21cs016,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Aditi Rao,IoT,9596691374,9651217724,Day Scholar,nitin.kapoor@students.amc.edu,Scholarship Holder
Rahul Kapoor,1AM21cs017,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Aditi Rao,AI & ML,9616152822,9649628042,Day Scholar,rahul.kapoor@students.amc.edu,Placed
Neha Kapoor,1AM21cs018,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Aditi Rao,IoT,9809287791,9524659781,Day Scholar,neha.kapoor@students.amc.edu,Scholarship Holder
Arjun Iyer,1AM21cs019,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Nikhil Kumar,IoT,9364746033,9441653597,Day Scholar,arjun.iyer@students.amc.edu,Sports Quota
Siddharth Joshi,1AM21cs020,2021,Computer Science and Engineering,B.E,Computer Science,Prof. Aditi Rao,Data Science,9721560544,9985358127,Day Scholar,siddharth.joshi@students.amc.edu,Placed
Sneha Iyer,1AM21ec001,2021,Electronics and Communication,B.E,Electronics,Prof. Anil Reddy,Embedded Systems,9990043418,9796815278,Hostel,sneha.iyer@students.amc.edu,Sports Quota
Ishita Menon,1AM21ec002,2021,Electronics and Communication,B.E,Electronics,Prof. Kavya Iyer,Embedded Systems,9114179267,9408693299,Hostel,ishita.menon@students.amc.edu,Scholarship Holder
Divya Joshi,1AM21ec003,2021,Electronics and Communication,B.E,Electronics,Prof. Anil Reddy,Signal Processing,9253348306,9307762380,Hostel,divya.joshi@students.amc.edu,Placed
Ravi Rao,1AM21ec004,2021,Electronics and Communication,B.E,Electronics,Prof. Anil Reddy,Embedded Systems,9974110350,9190325430,Day Scholar,ravi.rao@students.amc.edu,Scholarship Holder
Ravi Rao,1AM21ec005,2021,Electronics and Communication,B.E,Electronics,Prof. Kavya Iyer,Embedded Systems,9807046031,9106137346,Day Scholar,ravi.rao@students.amc.edu,Scholarship Holder
Neha Rao,1AM21ec006,2021,Electronics and Communication,B.E,Electronics,Prof. Anil Reddy,Signal Processing,9101508076,9563457448,Hostel,neha.rao@students.amc.edu,Scholarship Holder
Harsh Patil,1AM21ec007,2021,Electronics and Communication,B.E,Electronics,Prof. Anil Reddy,VLSI Design,9479008724,9615549196,Day Scholar,harsh.patil@students.amc.edu,Sports Quota
Meera Verma,1AM21ec008,2021,Electronics and Communication,B.E,Electronics,Prof. Kavya Iyer,Embedded Systems,9954003049,9641712468,Hostel,meera.verma@students.amc.edu,Member of coding club
Ishita Joshi,1AM21ec009,2021,Electronics and Communication,B.E,Electronics,Prof. Anil Reddy,Signal Processing,9798108320,9857163402,Hostel,ishita.joshi@students.amc.edu,Sports Quota
Nitin Nair,1AM21ec010,2021,Electronics and Communication,B.E,Electronics,Prof. Anil Reddy,Embedded Systems,9209977172,9504292989,Day Scholar,nitin.nair@students.amc.edu,Sports Quota
Pooja Gupta,1AM21ec011,2021,Electronics and Communication,B.E,Electronics,Prof. Anil Reddy,Signal Processing,9999102106,9352808712,Day Scholar,pooja.gupta@students.amc.edu,Internship ongoing
Kavya Sharma,1AM21ec012,2021,Electronics and Communication,B.E,Electronics,Prof. Anil Reddy,Embedded Systems,9781893011,9886838449,Day Scholar,kavya.sharma@students.amc.edu,Internship ongoing
Kavya Nair,1AM21ec013,2021,Electronics and Communication,B.E,Electronics,Prof. Anil Reddy,Signal Processing,9795565595,9331785266,Hostel,kavya.nair@students.amc.edu,Placed
Pooja Sharma,1AM21ec014,2021,Electronics and Communication,B.E,Electronics,Prof. Anil Reddy,Signal Processing,9626194770,9766127687,Day Scholar,pooja.sharma@students.amc.edu,Internship ongoing
Aakash Joshi,1AM21ec015,2021,Electronics and Communication,B.E,Electronics,Prof. Kavya Iyer,VLSI Design,9506249314,9160996864,Hostel,aakash.joshi@students.amc.edu,Placed
Rohan Sharma,1AM21ec016,2021,Electronics and Communication,B.E,Electronics,Prof. Anil Reddy,Embedded Systems,9904657533,9277654052,Hostel,rohan.sharma@students.amc.edu,Sports Quota
Ishita Rao,1AM21ec017,2021,Electronics and Communication,B.E,Electronics,Prof. Kavya Iyer,VLSI Design,9347755194,9437553464,Day Scholar,ishita.rao@students.amc.edu,Member of coding club
Siddharth Gupta,1AM21ec018,2021,Electronics and Communication,B.E,Electronics,Prof. Kavya Iyer,Signal Processing,9826392350,9841660832,Hostel,siddharth.gupta@students.amc.edu,Member of coding club
Sneha Iyer,1AM21ec019,2021,Electronics and Communication,B.E,Electronics,Prof. Kavya Iyer,Embedded Systems,9447223846,9592746681,Day Scholar,sneha.iyer@students.amc.edu,Placed
Kavya Rao,1AM21ec020,2021,Electronics and Communication,B.E,Electronics,Prof. Anil Reddy,VLSI Design,9653865369,9720352127,Day Scholar,kavya.rao@students.amc.edu,Internship ongoing
Nitin Sharma,1AM21me001,2021,Mechanical Engineering,B.E,Mechanical,Prof. Ramesh Shetty,Automobile Engg,9330007253,9953085349,Hostel,nitin.sharma@students.amc.edu,Placed
Neha Menon,1AM21me002,2021,Mechanical Engineering,B.E,Mechanical,Prof. Ramesh Shetty,Automobile Engg,9419340857,9680539938,Hostel,neha.menon@students.amc.edu,Internship ongoing
Ishita Gupta,1AM21me003,2021,Mechanical Engineering,B.E,Mechanical,Prof. Swathi Rao,Robotics,9446442369,9241451495,Day Scholar,ishita.gupta@students.amc.edu,Internship ongoing
Nitin Menon,1AM21me004,2021,Mechanical Engineering,B.E,Mechanical,Prof. Swathi Rao,3D Printing,9990128371,9660972437,Hostel,nitin.menon@students.amc.edu,Scholarship Holder
